Time,Count
13_44,381
15_30,428
05_58,326
06_24,327
06_38,327
07_12,330
07_16,330
07_37,331
08_21,333
08_38,334
09_17,335
09_37,337
10_18,348
10_37,357
11_14,376
11_37,389
12_33,420
13_22,448
13_37,457
14_16,478
14_37,492
15_18,505
15_37,510
16_32,526
17_15,535
17_37,546
18_20,559
18_37,563
19_13,570
19_37,577
20_17,584
20_37,591
21_14,602
21_37,607
22_16,611
22_37,618
23_17,624
23_37,626
01_17,336
02_15,339
02_43,343
03_17,344
03_37,344
04_20,344
04_37,344
05_16,345
05_37,345
06_22,349
06_38,349
07_15,350
07_37,352
08_20,354
08_38,357
09_16,358
09_37,360
10_18,369
10_38,374
11_14,396
11_37,415
12_31,443
13_20,468
13_37,474
14_15,494
14_37,502
15_17,509
15_37,518
16_22,529
16_40,531
17_14,543
17_37,552
18_20,560
18_37,561
19_13,570
19_37,573
20_17,589
20_37,596
21_14,604
21_37,606
22_15,616
22_37,617
23_17,618
23_38,620
01_18,296
02_12,300
02_41,301
03_17,301
03_37,301
04_19,301
04_37,301
05_15,301
05_37,303
06_20,305
06_37,306
07_15,307
07_37,307
08_19,308
08_37,308
09_15,309
09_37,309
10_16,314
10_37,316
11_13,319
11_37,320
12_30,323
13_17,332
13_37,335
14_14,338
14_37,339
15_15,342
15_37,345
16_20,349
16_38,349
17_13,350
17_37,351
18_20,355
18_37,356
19_12,359
19_37,361
20_15,363
20_37,363
21_14,365
21_38,366
22_15,370
22_37,372
23_17,373
23_37,373
01_35,83
02_37,85
03_17,88
03_37,88
04_19,91
04_37,91
05_15,91
05_37,91
06_21,91
06_38,91
07_14,92
07_37,92
08_19,93
08_37,93
09_15,93
09_37,93
10_16,95
10_37,97
11_12,103
11_37,105
12_30,112
12_51,114
13_18,119
13_37,119
14_14,125
14_38,131
15_16,133
15_37,134
16_20,138
16_38,138
17_14,145
17_37,145
18_19,147
18_38,149
19_13,151
19_38,152
20_16,153
20_37,153
21_14,158
21_37,159
22_15,160
22_37,160
23_16,163
23_37,164
01_22,84
02_23,87
02_45,89
03_18,90
03_37,90
04_20,91
04_38,91
05_16,93
05_37,93
06_22,95
06_38,95
07_16,97
07_37,97
08_22,97
08_38,98
09_17,100
09_37,100
10_18,106
